Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,40.720001,41.450001,39.799999,41.389999,41.001259,30022100
2020-03-05,40.169998,40.509998,39.290001,39.570000,39.198353,30255900
2020-03-06,38.000000,39.950001,37.799999,39.680000,39.307320,48605600
2020-03-09,36.900002,39.560001,36.290001,37.959999,37.603474,61535300
2020-03-10,39.250000,40.150002,37.869999,40.080002,39.703564,50536500
2020-03-11,39.020000,39.160000,36.369999,37.049999,36.702019,63594300
2020-03-12,34.500000,35.820000,33.000000,33.200001,32.888180,51855300
2020-03-13,35.180000,37.680000,33.330002,37.639999,37.286480,53859600
2020-03-16,33.230000,36.990002,32.400002,33.709999,33.393391,44211300
2020-03-17,34.700001,36.250000,33.599998,35.500000,35.166580,41572400
2020-03-18,33.759998,37.709999,33.310001,37.119999,36.771362,56904300
2020-03-19,37.049999,39.320000,36.150002,37.709999,37.355820,58319700
2020-03-20,38.270000,38.470001,35.400002,35.599998,35.265636,48582500
2020-03-23,35.509998,35.820000,33.740002,34.599998,34.275032,39823400
2020-03-24,36.410000,38.680000,35.540001,38.599998,38.237461,48235600
2020-03-25,38.650002,39.950001,37.500000,37.669998,37.316196,42873900
2020-03-26,37.970001,40.919998,37.369999,40.580002,40.198868,38473300
2020-03-27,39.209999,40.150002,38.410000,38.820000,38.455399,31278600
2020-03-30,39.450001,40.490002,38.959999,40.320000,39.941307,27120300
2020-03-31,40.130001,40.419998,39.110001,39.310001,38.940796,26014200
2020-04-01,38.169998,38.860001,37.869999,38.330002,37.970001,26790700
2020-04-02,37.840000,39.950001,37.470001,39.799999,39.799999,28180500
2020-04-03,39.820000,40.290001,38.540001,39.060001,39.060001,21235200
2020-04-06,40.459999,41.680000,39.779999,41.430000,41.430000,31641400
2020-04-07,42.660000,42.740002,40.590000,40.639999,40.639999,30366100
2020-04-08,41.169998,42.200001,40.869999,41.740002,41.740002,22683500
2020-04-09,42.090000,42.200001,40.849998,41.200001,41.200001,27650200
2020-04-13,41.040001,41.459999,40.529999,41.220001,41.220001,19592000
2020-04-14,41.910000,42.820000,41.529999,42.779999,42.779999,22882400
2020-04-15,42.200001,42.369999,41.230000,41.520000,41.520000,18428800
2020-04-16,41.759998,41.790001,40.680000,41.500000,41.500000,26178000
2020-04-17,42.250000,42.639999,41.740002,42.480000,42.480000,30701500
2020-04-20,41.919998,43.290001,41.790001,42.540001,42.540001,23438800
2020-04-21,41.830002,41.990002,40.410000,40.549999,40.549999,31661000
2020-04-22,41.270000,42.090000,41.110001,41.759998,41.759998,18337400
2020-04-23,41.889999,42.549999,41.529999,41.619999,41.619999,16100200
2020-04-24,41.840000,42.660000,41.650002,42.520000,42.520000,14641700
2020-04-27,42.700001,43.220001,42.580002,43.060001,43.060001,17937900
2020-04-28,43.500000,43.630001,42.410000,42.490002,42.490002,16427700
2020-04-29,43.349998,43.480000,42.930000,43.340000,43.340000,17430100
2020-04-30,43.169998,43.169998,42.169998,42.380001,42.380001,26679900
2020-05-01,41.720001,41.810001,40.770000,40.919998,40.919998,22091700
